"id_fichas";"marca";"modelo";"version";"cilindrada";"motor_short"
798;;;"5P 2.0 TS";"1970 cc";"2.0L"
799;;;"5P 2.0 TS Selespeed";"1970 cc";"2.0L"
802;;;"1.8 TBI";"1742 cc";"1.8L"
806;;;"2.2 JTS Selespeed";"2198 cc";"2.2L"
894;;;"2.2 JTS Selespeed";"2198 cc";"2.2L"
814;;;"2.2 JTS";"3195 cc";"3.2L"
810;;;"2.0";"1970 cc";"2.0L"
811;;;"2.0 Selespeed";"1970 cc";"2.0L"
796;;"MiTo";"1.4 Multiair";"1368 cc";"1.4L"
797;;"MiTo";"1.4 TBI";"1368 cc";"1.4L"
815;;"Spider";"2.2 JTS Selespeed";"2198 cc";"2.2L"
716;;;"1.6";"1595 cc";"1.6L"
718;;;"1.8 T FSI";"1798 cc";"1.8L"
719;;;"1.8 T FSI S-Tronic";"1798 cc";"1.8L"
717;;;"2.0 TDI";"1984 cc";"2.0L"
720;;;"2.0 T FSI";"1984 cc";"2.0L"
721;;;"2.0 T FSI S-Tronic";"1984 cc";"2.0L"
734;;;"1.6";"1595 cc";"1.6L"
736;;;"1.6 S-Tronic";"1595 cc";"1.6L"
737;;;"1.8 T FSI";"1798 cc";"1.8L"
738;;;"1.8 T FSI S-Tronic";"1798 cc";"1.8L"
735;;;"2.0 TDI";"1984 cc";"2.0L"
739;;;"2.0 T FSI";"1984 cc";"2.0L"
740;;;"2.0 T FSI S-Tronic";"1984 cc";"2.0L"
725;;;"1.8 T FSI Multitronic";"1798 cc";"1.8L"
724;;;"1.8 T FSI";"1798 cc";"1.8L"
730;;;"2.0 TDI";"1968 cc";"2.0L"
731;;;"2.0 TDI Multitronic";"1968 cc";"2.0L"
728;;;"2.0 T FSI Quattro";"1968 cc";"2.0L"
729;;;"2.0 T FSI Quattro S-Tronic";"1968 cc";"2.0L"
726;;;"2.0 T FSI";"1968 cc";"2.0L"
727;;;"2.0 T FSI Multitronic";"1968 cc";"2.0L"
732;;;"3.2 FSI Quattro";"3197 cc";"3.2L"
733;;;"3.2 FSI Quattro Tiptronic";"3197 cc";"3.2L"
749;;;"2.0 T FSI Quattro S-Tronic";"1984 cc";"2.0L"
745;;;"1.8 T FSI";"1798 cc";"1.8L"
746;;;"1.8 T FSI Multitronic";"1798 cc";"1.8L"
747;;;"2.0 T FSI";"1968 cc";"2.0L"
748;;;"2.0 T FSI Multitronic";"1968 cc";"2.0L"
754;;;"2.0 T FSI";"1984 cc";"2.0L"
750;;;"2.0 T FSI Quattro";"1984 cc";"2.0L"
756;;;"2.0 T FSI Multitronic";"1984 cc";"2.0L"
753;;;"2.0 T FSI Quattro S-Tronic";"1984 cc";"2.0L"
758;;;"3.2 Quattro";"3194 cc";"3.2L"
759;;;"3.2 Quattro Tiptronic";"3194 cc";"3.2L"
763;;;"3.2 Cabrio FSI Quattro Stronic";"3194 cc";"3.2L"
751;;;"2.8 FSI Multitronic";"2773 cc";"2.8L"
752;;;"3.0 TDI Quattro Tiptronic";"2967 cc";"3.0L"
757;;;"3.0 T FSI Quattro Tiptronic";"4163 cc";"4.2L"
761;;;"3.0 TDI Quattro Tiptronic";"2967 cc";"3.0L"
760;;;"3.0 T FSI Quattro Tiptronic";"2967 cc";"3.0L"
762;;;"4.2 FSI Quattro Tiptronic";"4163 cc";"3.0L"
773;;;"2.0 TDI Quattro";"1968 cc";"2.0L"
769;;;"2.0 T FSI Quattro";"1968 cc";"2.0L"
770;;;"2.0 T FSI Quattro S-Tronic";"1968 cc";"2.0L"
774;;;"3.0 TDI Quattro S-Tronic";"2967 cc";"3.0L"
777;;;"3.2 FSI Quattro S-Tronic";"3197 cc";"3.2L"
